"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"4","hsa-let-7a-2-3p","hsa-let-7a-2","0","0","0","0","0","0"
"7","hsa-let-7b-5p","hsa-let-7b","3","0","47","3","0","9"
"8","hsa-let-7b-3p","hsa-let-7b","0","0","0","0","0","0"
"9","hsa-let-7c-5p","hsa-let-7c","370","121","153","161","77","17"
"10","hsa-let-7c-3p","hsa-let-7c","0","0","0","0","0","0"
"11","hsa-let-7d-5p","hsa-let-7d","13","4","5","7","1","4"
"12","hsa-let-7d-3p","hsa-let-7d","6","1","0","1","1","1"
"13","hsa-let-7e-5p","hsa-let-7e","4119","1462","6919","2491","1208","1047"
"14","hsa-let-7e-3p","hsa-let-7e","6","0","0","2","0","1"
"16","hsa-let-7f-1-3p","hsa-let-7f-1","0","0","0","0","0","0"
"18","hsa-let-7f-2-3p","hsa-let-7f-2","0","0","0","0","0","0"
"19","hsa-let-7g-5p","hsa-let-7g","118","35","164","64","39","15"
"20","hsa-let-7g-3p","hsa-let-7g","0","0","0","0","0","0"
"21","hsa-let-7i-5p","hsa-let-7i","60","22","136","57","21","35"
"22","hsa-let-7i-3p","hsa-let-7i","0","0","0","0","0","0"
"24","hsa-miR-1-5p","hsa-mir-1-1","0","0","0","0","0","0"
"26","hsa-miR-100-5p","hsa-mir-100","245","79","310","90","34","16"
"27","hsa-miR-100-3p","hsa-mir-100","3","1","0","0","0","1"
"28","hsa-miR-101-5p","hsa-mir-101-1","3","0","0","4","5","2"
"31","hsa-miR-101-2-5p","hsa-mir-101-2","0","0","0","0","0","0"
"32","hsa-miR-10226","hsa-mir-10226","2","1","14","0","1","1"
"33","hsa-miR-10392-5p","hsa-mir-10392","1","2","0","0","0","0"
"34","hsa-miR-10392-3p","hsa-mir-10392","0","0","0","0","0","0"
"35","hsa-miR-10393-5p","hsa-mir-10393","0","0","0","0","0","0"
"36","hsa-miR-10393-3p","hsa-mir-10393","0","0","0","0","0","0"
"37","hsa-miR-10394-5p","hsa-mir-10394","0","0","0","0","1","0"
"38","hsa-miR-10394-3p","hsa-mir-10394","0","4","0","0","0","0"
"39","hsa-miR-10395-5p","hsa-mir-10395","0","0","0","0","0","0"
"40","hsa-miR-10395-3p","hsa-mir-10395","222","70","807","143","91","232"
"41","hsa-miR-10396a-5p","hsa-mir-10396a","3","1","12","0","0","0"
"42","hsa-miR-10396a-3p","hsa-mir-10396a","0","1","3","0","0","0"
"43","hsa-miR-10396b-5p","hsa-mir-10396b","3","1","15","0","0","0"
"44","hsa-miR-10396b-3p","hsa-mir-10396b","28","2","33","9","1","2"
"45","hsa-miR-10397-5p","hsa-mir-10397","0","0","0","0","0","0"
"46","hsa-miR-10397-3p","hsa-mir-10397","0","0","3","0","0","0"
"47","hsa-miR-10398-5p","hsa-mir-10398","0","0","0","0","0","0"
"48","hsa-miR-10398-3p","hsa-mir-10398","0","0","0","0","0","0"
"49","hsa-miR-10399-5p","hsa-mir-10399","0","0","0","0","0","0"
"50","hsa-miR-10399-3p","hsa-mir-10399","0","0","0","0","0","0"
"52","hsa-miR-103a-1-5p","hsa-mir-103a-1","0","1","12","3","0","0"
"53","hsa-miR-103a-2-5p","hsa-mir-103a-2","9","2","31","5","5","6"
"57","hsa-miR-10400-5p","hsa-mir-10400","0","0","0","0","0","0"
"58","hsa-miR-10400-3p","hsa-mir-10400","0","0","0","0","0","0"
"59","hsa-miR-10401-5p","hsa-mir-10401","0","0","0","0","0","0"
"60","hsa-miR-10401-3p","hsa-mir-10401","43","16","123","33","12","16"
"65","hsa-miR-10522-5p","hsa-mir-10522","1","4","8","1","0","0"
"66","hsa-miR-10523-5p","hsa-mir-10523","0","0","0","0","0","0"
"67","hsa-miR-10524-5p","hsa-mir-10524","0","1","0","0","0","0"
"68","hsa-miR-10525-3p","hsa-mir-10525","0","0","0","0","0","0"
"69","hsa-miR-10526-3p","hsa-mir-10526","0","0","0","0","0","0"
"70","hsa-miR-10527-5p","hsa-mir-10527","6","1","19","8","2","4"
"71","hsa-miR-106a-5p","hsa-mir-106a","68","21","54","45","26","16"
"72","hsa-miR-106a-3p","hsa-mir-106a","0","0","0","0","0","0"
"73","hsa-miR-106b-5p","hsa-mir-106b","202","82","200","182","78","33"
"74","hsa-miR-106b-3p","hsa-mir-106b","1423","432","1869","756","399","404"
"75","hsa-miR-107","hsa-mir-107","3952","1629","5018","2672","1513","989"
"76","hsa-miR-10a-5p","hsa-mir-10a","1203187","272554","2256641","668951","427001","605853"
"77","hsa-miR-10a-3p","hsa-mir-10a","272","68","145","226","113","47"
"78","hsa-miR-10b-5p","hsa-mir-10b","1296549","294045","5856044","1077872","718711","2120878"
"79","hsa-miR-10b-3p","hsa-mir-10b","98","41","187","158","77","36"
"80","hsa-miR-11181-5p","hsa-mir-11181","0","0","0","0","0","0"
"81","hsa-miR-11181-3p","hsa-mir-11181","0","0","0","0","0","0"
"82","hsa-miR-11399","hsa-mir-11399","0","0","7","1","0","0"
"83","hsa-miR-11400","hsa-mir-11400","0","0","0","0","0","0"
"84","hsa-miR-11401","hsa-mir-11401","5","0","0","0","0","0"
"85","hsa-miR-1178-5p","hsa-mir-1178","0","0","0","0","0","0"
"86","hsa-miR-1178-3p","hsa-mir-1178","0","0","0","0","0","0"
"87","hsa-miR-1179","hsa-mir-1179","105","31","129","72","28","15"
"88","hsa-miR-1180-5p","hsa-mir-1180","2","1","0","3","0","0"
"89","hsa-miR-1180-3p","hsa-mir-1180","828","302","1372","658","347","411"
"90","hsa-miR-1181","hsa-mir-1181","0","0","0","0","0","0"
"91","hsa-miR-1182","hsa-mir-1182","0","0","0","0","0","0"
"92","hsa-miR-1183","hsa-mir-1183","0","0","0","0","0","0"
"97","hsa-miR-1185-1-3p","hsa-mir-1185-1","5","6","0","1","0","0"
"99","hsa-miR-1185-2-3p","hsa-mir-1185-2","2","3","0","0","0","1"
"100","hsa-miR-1193","hsa-mir-1193","1","0","0","0","0","0"
"101","hsa-miR-1197","hsa-mir-1197","2","2","5","0","0","0"
"102","hsa-miR-1199-5p","hsa-mir-1199","0","0","0","0","0","0"
"103","hsa-miR-1199-3p","hsa-mir-1199","0","0","0","0","0","0"
"104","hsa-miR-1200","hsa-mir-1200","0","0","0","0","0","0"
"105","hsa-miR-1202","hsa-mir-1202","0","0","0","0","0","0"
"106","hsa-miR-1203","hsa-mir-1203","0","0","0","0","0","0"
"107","hsa-miR-1204","hsa-mir-1204","0","0","0","0","0","0"
"108","hsa-miR-1205","hsa-mir-1205","0","0","0","0","0","0"
"109","hsa-miR-1206","hsa-mir-1206","0","0","0","0","0","0"
"110","hsa-miR-1207-5p","hsa-mir-1207","0","0","0","0","0","0"
"111","hsa-miR-1207-3p","hsa-mir-1207","0","0","0","0","0","0"
"112","hsa-miR-1208","hsa-mir-1208","0","0","0","0","0","0"
"113","hsa-miR-12113","hsa-mir-12113","0","0","0","0","0","0"
"114","hsa-miR-12114","hsa-mir-12114","0","2","0","0","0","0"
"115","hsa-miR-12115","hsa-mir-12115","0","0","0","0","0","0"
"116","hsa-miR-12116","hsa-mir-12116","0","0","0","0","0","0"
"117","hsa-miR-12117","hsa-mir-12117","0","0","0","0","0","0"
"118","hsa-miR-12118","hsa-mir-12118","0","0","0","0","0","0"
"119","hsa-miR-12119","hsa-mir-12119","0","0","0","0","0","0"
"120","hsa-miR-12120","hsa-mir-12120","0","0","0","0","0","0"
"121","hsa-miR-12121","hsa-mir-12121","0","0","0","0","0","0"
"122","hsa-miR-12122","hsa-mir-12122","0","0","0","0","0","0"
"123","hsa-miR-12123","hsa-mir-12123","0","0","0","0","0","0"
"124","hsa-miR-12124","hsa-mir-12124","0","0","0","0","0","0"
"125","hsa-miR-12125","hsa-mir-12125","0","0","0","0","0","0"
"126","hsa-miR-12126","hsa-mir-12126","0","0","0","0","0","0"
"127","hsa-miR-12127","hsa-mir-12127","0","0","0","0","0","0"
"128","hsa-miR-12128","hsa-mir-12128","0","0","0","0","0","0"
"129","hsa-miR-12129","hsa-mir-12129","0","0","0","0","0","0"
"130","hsa-miR-12130","hsa-mir-12130","0","0","0","0","0","0"
"131","hsa-miR-12131","hsa-mir-12131","0","0","0","0","0","0"
"132","hsa-miR-12132","hsa-mir-12132","0","0","0","0","0","0"
"133","hsa-miR-12133","hsa-mir-12133","0","0","0","0","0","0"
"134","hsa-miR-12135","hsa-mir-12135","0","0","0","0","0","0"
"135","hsa-miR-12136","hsa-mir-12136","139","53","280","72","50","56"
"136","hsa-miR-122-5p","hsa-mir-122","16","11","77","14","9","7"
"137","hsa-miR-122-3p","hsa-mir-122","0","0","0","0","0","0"
"138","hsa-miR-1224-5p","hsa-mir-1224","9","7","27","9","12","6"
"139","hsa-miR-1224-3p","hsa-mir-1224","0","0","0","0","0","0"
"140","hsa-miR-1225-5p","hsa-mir-1225","0","0","0","0","0","0"
"141","hsa-miR-1225-3p","hsa-mir-1225","0","0","0","0","0","0"
"142","hsa-miR-1226-5p","hsa-mir-1226","8","0","50","3","0","4"
"143","hsa-miR-1226-3p","hsa-mir-1226","30","5","33","10","5","4"
"144","hsa-miR-1227-5p","hsa-mir-1227","0","0","0","0","0","0"
"145","hsa-miR-1227-3p","hsa-mir-1227","0","0","10","6","0","0"
"146","hsa-miR-1228-5p","hsa-mir-1228","0","1","0","3","0","0"
"147","hsa-miR-1228-3p","hsa-mir-1228","2","1","4","3","1","0"
"148","hsa-miR-1229-5p","hsa-mir-1229","0","0","0","0","0","0"
"149","hsa-miR-1229-3p","hsa-mir-1229","1","0","10","3","1","0"
"150","hsa-miR-122b-5p","hsa-mir-122b","0","0","0","2","0","0"
"151","hsa-miR-122b-3p","hsa-mir-122b","0","0","0","0","0","0"
"152","hsa-miR-1231","hsa-mir-1231","0","0","0","0","0","0"
"157","hsa-miR-1234-3p","hsa-mir-1234","2","1","0","1","1","0"
"158","hsa-miR-1236-5p","hsa-mir-1236","0","0","0","0","0","0"
"159","hsa-miR-1236-3p","hsa-mir-1236","0","0","0","0","0","0"
"160","hsa-miR-1237-5p","hsa-mir-1237","0","0","0","0","0","0"
"161","hsa-miR-1237-3p","hsa-mir-1237","0","0","4","0","0","0"
"162","hsa-miR-1238-5p","hsa-mir-1238","0","0","0","0","0","0"
"163","hsa-miR-1238-3p","hsa-mir-1238","0","0","0","0","0","0"
"170","hsa-miR-1243","hsa-mir-1243","116","38","109","76","40","32"
"175","hsa-miR-1245a","hsa-mir-1245a","0","0","0","0","0","0"
"176","hsa-miR-1245b-5p","hsa-mir-1245b","0","0","0","0","0","0"
"177","hsa-miR-1245b-3p","hsa-mir-1245b","0","0","0","0","0","0"
"178","hsa-miR-1246","hsa-mir-1246","57","32","381","23","21","19"
"179","hsa-miR-1247-5p","hsa-mir-1247","14","0","9","0","3","3"
"180","hsa-miR-1247-3p","hsa-mir-1247","21","9","79","7","3","7"
"181","hsa-miR-1248","hsa-mir-1248","0","2","14","0","1","0"
"182","hsa-miR-1249-5p","hsa-mir-1249","2","1","0","4","0","4"
"183","hsa-miR-1249-3p","hsa-mir-1249","80","24","176","61","38","42"
"184","hsa-miR-1250-5p","hsa-mir-1250","1","2","0","3","1","1"
"185","hsa-miR-1250-3p","hsa-mir-1250","0","0","0","0","0","0"
"186","hsa-miR-1251-5p","hsa-mir-1251","192","38","68","95","48","15"
"187","hsa-miR-1251-3p","hsa-mir-1251","0","0","2","1","0","3"
"188","hsa-miR-1252-5p","hsa-mir-1252","4","2","11","1","0","2"
"189","hsa-miR-1252-3p","hsa-mir-1252","0","0","0","0","0","0"
"190","hsa-miR-1253","hsa-mir-1253","4","4","0","0","0","0"
"191","hsa-miR-1255a","hsa-mir-1255a","15","8","49","9","4","14"
"194","hsa-miR-1255b-2-3p","hsa-mir-1255b-2","0","0","0","0","0","0"
"195","hsa-miR-1256","hsa-mir-1256","0","0","0","1","0","0"
"196","hsa-miR-1257","hsa-mir-1257","0","0","0","0","0","0"
"197","hsa-miR-1258","hsa-mir-1258","0","0","2","0","0","0"
"198","hsa-miR-125a-5p","hsa-mir-125a","36414","9397","46934","21943","11065","9412"
"199","hsa-miR-125a-3p","hsa-mir-125a","219","90","340","165","81","68"
"201","hsa-miR-125b-1-3p","hsa-mir-125b-1","1540","664","2439","873","489","311"
"203","hsa-miR-125b-2-3p","hsa-mir-125b-2","1116","382","1504","409","175","99"
"204","hsa-miR-126-5p","hsa-mir-126","34","15","40","26","18","5"
"205","hsa-miR-126-3p","hsa-mir-126","15","2","24","15","3","5"
"206","hsa-miR-1260a","hsa-mir-1260a","0","0","4","1","0","0"
"207","hsa-miR-1260b","hsa-mir-1260b","38","15","44","19","8","5"
"208","hsa-miR-1261","hsa-mir-1261","0","0","0","0","0","0"
"209","hsa-miR-1262","hsa-mir-1262","6","2","15","4","5","2"
"210","hsa-miR-1263","hsa-mir-1263","0","0","0","0","0","0"
"211","hsa-miR-1264","hsa-mir-1264","0","0","0","0","0","0"
"212","hsa-miR-1265","hsa-mir-1265","0","0","0","0","0","0"
"213","hsa-miR-1266-5p","hsa-mir-1266","3","2","13","4","2","4"
"214","hsa-miR-1266-3p","hsa-mir-1266","0","0","0","0","0","0"
"215","hsa-miR-1267","hsa-mir-1267","5","0","0","3","0","0"
"216","hsa-miR-1268a","hsa-mir-1268a","39","10","78","18","11","10"
"217","hsa-miR-1268b","hsa-mir-1268b","44","10","90","21","14","18"
"218","hsa-miR-1269a","hsa-mir-1269a","65","19","172","77","33","34"
"219","hsa-miR-1269b","hsa-mir-1269b","40","13","60","62","24","24"
"220","hsa-miR-127-5p","hsa-mir-127","9","2","9","4","2","1"
"221","hsa-miR-127-3p","hsa-mir-127","3363","1074","2587","1588","764","354"
"222","hsa-miR-1270","hsa-mir-1270","283","86","407","148","89","62"
"223","hsa-miR-1271-5p","hsa-mir-1271","241","64","163","140","90","40"
"224","hsa-miR-1271-3p","hsa-mir-1271","1","0","0","3","2","1"
"225","hsa-miR-1272","hsa-mir-1272","1","0","0","0","0","0"
"226","hsa-miR-1273c","hsa-mir-1273c","0","0","0","0","0","1"
"227","hsa-miR-1273h-5p","hsa-mir-1273h","0","1","2","0","3","2"
"228","hsa-miR-1273h-3p","hsa-mir-1273h","25","17","50","18","6","5"
"229","hsa-miR-1275","hsa-mir-1275","176","122","120","225","107","51"
"230","hsa-miR-1276","hsa-mir-1276","282","83","474","176","100","86"
"231","hsa-miR-1277-5p","hsa-mir-1277","3","0","0","1","0","0"
"232","hsa-miR-1277-3p","hsa-mir-1277","0","0","0","0","0","0"
"233","hsa-miR-1278","hsa-mir-1278","0","0","0","1","0","0"
"234","hsa-miR-1279","hsa-mir-1279","0","0","0","0","0","0"
"235","hsa-miR-128-1-5p","hsa-mir-128-1","1231","506","3508","967","605","858"
"238","hsa-miR-128-2-5p","hsa-mir-128-2","1","0","14","0","0","1"
"239","hsa-miR-1281","hsa-mir-1281","0","0","0","0","0","0"
"240","hsa-miR-1282","hsa-mir-1282","0","0","0","0","0","0"
"243","hsa-miR-1284","hsa-mir-1284","6","0","0","2","2","2"
"244","hsa-miR-1285-5p","hsa-mir-1285-1","10","4","8","1","4","0"
"247","hsa-miR-1286","hsa-mir-1286","54","22","92","39","24","13"
"248","hsa-miR-1287-5p","hsa-mir-1287","55","23","69","28","12","15"
"249","hsa-miR-1287-3p","hsa-mir-1287","0","0","0","1","0","0"
"250","hsa-miR-1288-5p","hsa-mir-1288","0","0","5","0","0","0"
"251","hsa-miR-1288-3p","hsa-mir-1288","2","0","0","0","0","0"
"255","hsa-miR-129-1-3p","hsa-mir-129-1","25","7","71","11","9","11"
"257","hsa-miR-129-2-3p","hsa-mir-129-2","367","62","457","138","75","48"
"258","hsa-miR-1290","hsa-mir-1290","0","0","0","0","0","0"
"259","hsa-miR-1291","hsa-mir-1291","4","4","24","4","2","1"
"260","hsa-miR-1292-5p","hsa-mir-1292","1","0","6","6","4","5"
"261","hsa-miR-1292-3p","hsa-mir-1292","0","1","0","0","0","0"
"262","hsa-miR-1293","hsa-mir-1293","0","0","0","0","0","0"
"263","hsa-miR-1294","hsa-mir-1294","1","1","0","1","1","0"
"264","hsa-miR-1295a","hsa-mir-1295a","0","0","0","1","0","1"
"265","hsa-miR-1295b-5p","hsa-mir-1295b","0","0","0","0","0","0"
"266","hsa-miR-1295b-3p","hsa-mir-1295b","0","0","0","0","0","0"
"267","hsa-miR-1296-5p","hsa-mir-1296","1024","316","1576","639","297","216"
"268","hsa-miR-1296-3p","hsa-mir-1296","0","0","0","0","0","0"
"269","hsa-miR-1297","hsa-mir-1297","0","0","0","0","0","0"
"270","hsa-miR-1298-5p","hsa-mir-1298","2","0","8","5","2","0"
"271","hsa-miR-1298-3p","hsa-mir-1298","9","4","6","14","6","0"
"272","hsa-miR-1299","hsa-mir-1299","0","0","0","1","0","0"
"273","hsa-miR-1301-5p","hsa-mir-1301","0","0","0","0","0","0"
"274","hsa-miR-1301-3p","hsa-mir-1301","55","21","125","38","19","26"
"286","hsa-miR-1303","hsa-mir-1303","14","5","27","16","8","3"
"287","hsa-miR-1304-5p","hsa-mir-1304","1","0","0","0","1","0"
"288","hsa-miR-1304-3p","hsa-mir-1304","0","0","0","0","0","0"
"289","hsa-miR-1305","hsa-mir-1305","4","4","16","8","2","2"
"290","hsa-miR-1306-5p","hsa-mir-1306","30","16","29","23","13","10"
"291","hsa-miR-1306-3p","hsa-mir-1306","10","6","13","8","2","2"
"292","hsa-miR-1307-5p","hsa-mir-1307","78","30","73","55","20","22"
"293","hsa-miR-1307-3p","hsa-mir-1307","1834","691","3165","1188","581","613"
"294","hsa-miR-130a-5p","hsa-mir-130a","18","3","38","10","2","4"
"295","hsa-miR-130a-3p","hsa-mir-130a","32689","10305","40053","25288","12692","10042"
"296","hsa-miR-130b-5p","hsa-mir-130b","1619","537","1195","1259","538","289"
"297","hsa-miR-130b-3p","hsa-mir-130b","8393","2751","9686","6329","3360","2255"
"298","hsa-miR-132-5p","hsa-mir-132","39","7","18","20","7","6"
"299","hsa-miR-132-3p","hsa-mir-132","782","309","1917","522","294","310"
"300","hsa-miR-1321","hsa-mir-1321","0","0","0","0","0","0"
"301","hsa-miR-1322","hsa-mir-1322","3","1","0","0","0","0"
"302","hsa-miR-1323","hsa-mir-1323","15","3","6","6","3","7"
"303","hsa-miR-1324","hsa-mir-1324","0","0","0","0","0","0"
"308","hsa-miR-133b","hsa-mir-133b","5","1","14","0","1","0"
"309","hsa-miR-134-5p","hsa-mir-134","23","13","92","8","11","3"
"310","hsa-miR-134-3p","hsa-mir-134","0","0","0","0","0","0"
"311","hsa-miR-1343-5p","hsa-mir-1343","0","0","0","0","0","0"
"312","hsa-miR-1343-3p","hsa-mir-1343","45","24","169","27","13","24"
"314","hsa-miR-135a-3p","hsa-mir-135a-1","606","250","1150","326","242","188"
"316","hsa-miR-135a-2-3p","hsa-mir-135a-2","601","143","480","367","208","143"
"317","hsa-miR-135b-5p","hsa-mir-135b","90","29","144","57","35","17"
"318","hsa-miR-135b-3p","hsa-mir-135b","226","70","404","143","92","76"
"319","hsa-miR-136-5p","hsa-mir-136","3","2","0","0","1","0"
"320","hsa-miR-136-3p","hsa-mir-136","11","5","13","6","5","3"
"321","hsa-miR-137-5p","hsa-mir-137","95","20","312","53","22","62"
"322","hsa-miR-137-3p","hsa-mir-137","83","39","100","57","28","7"
"324","hsa-miR-138-1-3p","hsa-mir-138-1","978","610","4119","643","424","522"
"326","hsa-miR-138-2-3p","hsa-mir-138-2","376","157","1975","244","131","246"
"327","hsa-miR-139-5p","hsa-mir-139","149","39","281","74","28","32"
"328","hsa-miR-139-3p","hsa-mir-139","13","6","47","11","2","11"
"329","hsa-miR-140-5p","hsa-mir-140","24","3","0","14","6","2"
"330","hsa-miR-140-3p","hsa-mir-140","3828","1313","5559","2657","1222","1220"
"331","hsa-miR-141-5p","hsa-mir-141","1","0","0","0","0","0"
"332","hsa-miR-141-3p","hsa-mir-141","56","17","70","49","15","11"
"333","hsa-miR-142-5p","hsa-mir-142","0","1","19","0","1","1"
"334","hsa-miR-142-3p","hsa-mir-142","0","0","0","0","0","0"
"335","hsa-miR-143-5p","hsa-mir-143","0","1","0","1","0","0"
"336","hsa-miR-143-3p","hsa-mir-143","2472","842","784","1203","532","108"
"337","hsa-miR-144-5p","hsa-mir-144","3","0","0","3","0","0"
"338","hsa-miR-144-3p","hsa-mir-144","0","0","0","0","0","0"
"339","hsa-miR-145-5p","hsa-mir-145","25","1","6","2","5","2"
"340","hsa-miR-145-3p","hsa-mir-145","2","1","0","0","1","0"
"341","hsa-miR-1468-5p","hsa-mir-1468","278","82","229","208","84","63"
"342","hsa-miR-1468-3p","hsa-mir-1468","0","0","0","0","0","0"
"343","hsa-miR-1469","hsa-mir-1469","0","0","0","0","0","0"
"344","hsa-miR-146a-5p","hsa-mir-146a","22","5","32","7","6","9"
"345","hsa-miR-146a-3p","hsa-mir-146a","0","0","0","0","0","0"
"346","hsa-miR-146b-5p","hsa-mir-146b","1437","421","3379","787","417","616"
"347","hsa-miR-146b-3p","hsa-mir-146b","49","14","52","9","12","15"
"348","hsa-miR-1470","hsa-mir-1470","0","0","0","0","0","0"
"349","hsa-miR-1471","hsa-mir-1471","0","0","0","0","0","0"
"350","hsa-miR-147a","hsa-mir-147a","0","0","0","0","0","0"
"351","hsa-miR-147b-5p","hsa-mir-147b","0","0","0","0","0","0"
"352","hsa-miR-147b-3p","hsa-mir-147b","1","0","0","1","0","2"
"353","hsa-miR-148a-5p","hsa-mir-148a","283","113","346","212","99","68"
"354","hsa-miR-148a-3p","hsa-mir-148a","7009","2098","9966","5858","2558","2156"
"355","hsa-miR-148b-5p","hsa-mir-148b","72","24","82","57","32","31"
"356","hsa-miR-148b-3p","hsa-mir-148b","419","94","414","274","92","85"
"357","hsa-miR-149-5p","hsa-mir-149","30428","7855","45370","15433","7347","6578"
"358","hsa-miR-149-3p","hsa-mir-149","23","7","38","22","10","12"
"359","hsa-miR-150-5p","hsa-mir-150","0","1","14","2","0","1"
"360","hsa-miR-150-3p","hsa-mir-150","0","0","0","0","0","0"
"361","hsa-miR-151a-5p","hsa-mir-151a","9923","3535","4467","6888","3306","1049"
"362","hsa-miR-151a-3p","hsa-mir-151a","45651","15465","56364","29760","13512","12564"
"363","hsa-miR-151b","hsa-mir-151b","183","69","85","150","69","16"
"364","hsa-miR-152-5p","hsa-mir-152","17","10","21","12","5","7"
"365","hsa-miR-152-3p","hsa-mir-152","21","7","27","24","10","10"
"368","hsa-miR-153-5p","hsa-mir-153-2","2","1","25","0","0","1"
"369","hsa-miR-1537-5p","hsa-mir-1537","0","0","0","0","0","0"
"370","hsa-miR-1537-3p","hsa-mir-1537","0","0","0","0","0","0"
"371","hsa-miR-1538","hsa-mir-1538","18","8","28","13","3","1"
"372","hsa-miR-1539","hsa-mir-1539","0","0","0","0","0","0"
"373","hsa-miR-154-5p","hsa-mir-154","0","0","0","0","0","0"
"374","hsa-miR-154-3p","hsa-mir-154","0","0","0","0","0","0"
"375","hsa-miR-155-5p","hsa-mir-155","28","7","20","25","15","5"
"376","hsa-miR-155-3p","hsa-mir-155","0","0","0","0","0","0"
"377","hsa-miR-1587","hsa-mir-1587","0","0","0","0","0","0"
"378","hsa-miR-15a-5p","hsa-mir-15a","36","19","38","48","25","11"
"379","hsa-miR-15a-3p","hsa-mir-15a","0","0","0","0","0","0"
"380","hsa-miR-15b-5p","hsa-mir-15b","219","53","192","119","52","66"
"381","hsa-miR-15b-3p","hsa-mir-15b","4","1","0","3","0","1"
"383","hsa-miR-16-1-3p","hsa-mir-16-1","0","0","0","0","0","0"
"385","hsa-miR-16-2-3p","hsa-mir-16-2","42","18","14","44","16","9"
"386","hsa-miR-17-5p","hsa-mir-17","1568","479","1873","1211","548","372"
"387","hsa-miR-17-3p","hsa-mir-17","75","26","56","46","25","21"
"389","hsa-miR-181a-3p","hsa-mir-181a-1","5128","1547","7271","3023","1307","1249"
"391","hsa-miR-181a-2-3p","hsa-mir-181a-2","5420","1924","8163","4031","1970","1946"
"393","hsa-miR-181b-3p","hsa-mir-181b-1","33","8","122","28","9","10"
"395","hsa-miR-181b-2-3p","hsa-mir-181b-2","2","0","10","1","0","0"
"396","hsa-miR-181c-5p","hsa-mir-181c","3735","1238","6032","2540","1309","926"
"397","hsa-miR-181c-3p","hsa-mir-181c","2560","816","3693","1818","854","623"
"398","hsa-miR-181d-5p","hsa-mir-181d","4745","1443","11924","3524","1829","2291"
"399","hsa-miR-181d-3p","hsa-mir-181d","0","1","0","2","0","0"
"400","hsa-miR-182-5p","hsa-mir-182","11512","3628","20912","8928","4045","5168"
"401","hsa-miR-182-3p","hsa-mir-182","0","0","0","0","0","0"
"402","hsa-miR-1825","hsa-mir-1825","0","0","0","0","0","0"
"403","hsa-miR-1827","hsa-mir-1827","0","0","0","0","0","0"
"404","hsa-miR-183-5p","hsa-mir-183","1127","344","1756","712","387","366"
"405","hsa-miR-183-3p","hsa-mir-183","1","0","3","4","0","0"
"406","hsa-miR-184","hsa-mir-184","796","277","1302","409","215","228"
"407","hsa-miR-1843","hsa-mir-1843","1060","370","1900","800","375","391"
"408","hsa-miR-185-5p","hsa-mir-185","25","11","138","31","7","53"
"409","hsa-miR-185-3p","hsa-mir-185","34","11","32","19","19","2"
"410","hsa-miR-186-5p","hsa-mir-186","6828","1367","4935","3878","1886","1050"
"411","hsa-miR-186-3p","hsa-mir-186","0","0","0","0","0","0"
"412","hsa-miR-187-5p","hsa-mir-187","0","0","0","0","0","0"
"413","hsa-miR-187-3p","hsa-mir-187","6","2","11","13","7","4"
"414","hsa-miR-188-5p","hsa-mir-188","5","1","0","1","0","0"
"415","hsa-miR-188-3p","hsa-mir-188","4","0","4","0","0","0"
"416","hsa-miR-18a-5p","hsa-mir-18a","90","25","129","55","26","21"
"417","hsa-miR-18a-3p","hsa-mir-18a","156","44","206","108","57","45"
"418","hsa-miR-18b-5p","hsa-mir-18b","4","2","1","4","1","1"
"419","hsa-miR-18b-3p","hsa-mir-18b","0","0","0","0","0","2"
"420","hsa-miR-1908-5p","hsa-mir-1908","122","86","317","121","58","83"
"421","hsa-miR-1908-3p","hsa-mir-1908","17","10","24","19","11","3"
"422","hsa-miR-1909-5p","hsa-mir-1909","1","1","5","1","1","0"
"423","hsa-miR-1909-3p","hsa-mir-1909","0","1","0","0","0","0"
"424","hsa-miR-190a-5p","hsa-mir-190a","114","18","139","93","39","36"
"425","hsa-miR-190a-3p","hsa-mir-190a","0","0","0","0","0","0"
"426","hsa-miR-190b-5p","hsa-mir-190b","39","8","75","24","6","12"
"427","hsa-miR-190b-3p","hsa-mir-190b","0","0","0","0","0","0"
"428","hsa-miR-191-5p","hsa-mir-191","163129","50447","267796","103997","54994","59723"
"429","hsa-miR-191-3p","hsa-mir-191","84","29","88","43","23","16"
"430","hsa-miR-1910-5p","hsa-mir-1910","128","43","145","92","48","24"
"431","hsa-miR-1910-3p","hsa-mir-1910","2","1","0","0","0","0"
"432","hsa-miR-1911-5p","hsa-mir-1911","2","1","0","0","2","0"
"433","hsa-miR-1911-3p","hsa-mir-1911","0","0","0","0","0","0"
"434","hsa-miR-1912-5p","hsa-mir-1912","0","0","0","0","0","0"
"435","hsa-miR-1912-3p","hsa-mir-1912","0","0","4","2","2","0"
"436","hsa-miR-1913","hsa-mir-1913","4","1","19","1","1","3"
"437","hsa-miR-1914-5p","hsa-mir-1914","7","1","3","2","1","2"
"438","hsa-miR-1914-3p","hsa-mir-1914","0","0","0","0","0","0"
"439","hsa-miR-1915-5p","hsa-mir-1915","2","3","0","1","0","0"
"440","hsa-miR-1915-3p","hsa-mir-1915","0","1","3","2","1","0"
